name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Senecio_bellidifolius	NA	NA	NA	34223	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_lugens	NA	NA	NA	34231	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_odorus	NA	NA	NA	34237	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_sp._'AB-95006'	NA	NA	NA	56020	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_inaequidens	NA	NA	NA	58524	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_lautus	NA	NA	NA	58525	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_madagascariensis	NA	NA	NA	58529	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_vulgaris	NA	NA	NA	76276	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_polyanthemoides	NA	NA	NA	82363	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_pterophorus	NA	NA	NA	82364	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_californicus	NA	NA	NA	85881	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_viscosus	NA	NA	NA	85882	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_vernalis	NA	NA	NA	93496	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_costaricensis	NA	NA	NA	98719	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_eremophilus	NA	NA	NA	98721	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_neowebsteri	NA	NA	NA	98724	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_pseudoarnica	NA	NA	NA	98725	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_sphaerocephalus	NA	NA	NA	98726	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_glaucescens	NA	NA	NA	109585	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_lineatus	NA	NA	NA	112410	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_serra	NA	NA	NA	119730	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_aegyptius	NA	NA	NA	121537	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_aethnensis	NA	NA	NA	121540	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_chrysanthemifolius	NA	NA	NA	121541	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_flavus	NA	NA	NA	121542	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_gallicus	NA	NA	NA	121545	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_glaucus	NA	NA	NA	121546	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_hesperidium	NA	NA	NA	121547	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_leucanthemifolius	NA	NA	NA	121548	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_lividus	NA	NA	NA	121549	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_nebrodensis	NA	NA	NA	121550	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_petraeus	NA	NA	NA	121551	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_rodriguezii	NA	NA	NA	121552	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_rupestris	NA	NA	NA	121553	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_squalidus	NA	NA	NA	121554	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_sylvaticus	NA	NA	NA	121557	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_malacitanus	NA	NA	NA	121560	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_quadridentatus	NA	NA	NA	174475	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_rufiglandulosus	NA	NA	NA	174476	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_aff._arenarius_Merxmuller_&_Giess_28393	NA	NA	NA	183616	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
Senecio_abruptus	NA	NA	NA	183618	NA	NA	NA	18794	795077	102812	102804	4210	NA	NA	NA	NA	4209	NA	NA	71274	NA	NA	NA	35493	NA	NA	33090	2759
