taxon	trnL-trnF-intergenic-spacer	trnL	CHS	rps16	matK	trnK	trnT-trnL-intergenic-spacer	RAY1-like-protein	CesA	putative-RAY2-like-protein	atpF-atpH-intergenic-spacer	CYCLOIDEA-like-protein	ycf5	QG8140	unknown	rbcL	ndhF	ndhF.1	matK.1	rpl20-rps12-intergenic-spacer	rpoC1	matK.2	QG8140.1	psbJ	unknown.1	contains-psbD-trnT-intergenic-spacer	unknown.2	contains-petL-psbE-intergenic-spacer	rps16.1	contains-trnL-rpl32-intergenic-spacer	matK.3	contains-rps16-trnQ-intergenic-spacer-and-tRNA-Gln-(trnQ)	ndhF.2	hss1	ATP-sulfurylase-like-protein	calcium-dependent-protein-kinase-like-protein	COR414-like-protein	cysteine-rich-repeat-containing-protein	gag/pol-like-protein	psbA	includes-internal-transcribed-spacer-1,-5.8S-ribosomal-RNA-and-internal-transcribed-spacer-2-regions	5S-ribosomal-RNA-intergenic-spacer	unknown.3	unknown.4	unknown.5	unknown.6	unknown.7	stigma-specific-peroxidase	unknown.8	ndhF.3	atpB-rbcL-intergenic-region	
Roldana lineolata																									EF538292																											
Roldana albonervia																									EF538291																											
Dorobaea laciniata																									EF538187																											
Petasites frigidus		GQ245241																																																		
Steirodiscus tagetes																									EF538400																											
Culcitium serratifolium																									EF538180																											
Culcitium neaei																									EF538177																											
Culcitium canescens																									EF538176																											
Culcitium nivale																									GU289957																											
Ligularia kongkalingensis																									DQ272343																											
Ligularia japonica																									AY458825																											
Ligularia cyathiceps																									DQ272328																											
Ligularia thyrsoidea																									DQ272320																											
Ligularia mortonii																JQ933389																																				
Ligularia paradoxa		DQ104430																																																		
Ligularia platyglossa																									AY458841																											
Ligularia taquetii																									GU323282																											
Ligularia curvisquama																									DQ272324																											
Ligularia stenoglossa																									AB523365																											
Ligularia atroviolacea																									DQ272322																											
Ligularia latihastata																									DQ272334																											
Ligularia longihastata																									DQ272339																											
Ligularia caloxantha																									AY458838																											
Sinosenecio palmatilobus																																								JN047184												
Sinosenecio wuyiensis																									JQ797431																											
Sinosenecio leiboensis		EU195510																																																		
Sinosenecio saxatilis																									JQ797430																											
Sinosenecio trinervius		EU195518																																																		
Crassocephalum montuosum																									EF538174																											
Homogyne sylvestris																									EF538234																											
Homogyne discolor																									EF538232																											
Acrisione denticulata																									EF538145																											
Parasenecio delphiniifolius																									EF538281																											
Dendrophorbium multinerve																									EF538184																											
Dendrophorbium bradei																									FERN_0ILAFC																											
Telanthophora copeyensis																									EF538404																											
Jacobaea ambracea																									FJ556947																											
Emilia prenanthoidea																									EF538196																											
Emilia exserta																									EF538195																											
Monticalia corymbosa																									EF538258																											
Monticalia greenmaniana																									EF538260																											
Monticalia vaccinioides																									EF538263																											
Monticalia myrsinites																									EF538261																											
Monticalia flocculidens																									EF538259																											
Monticalia peruviana																									EF538262																											
Lasiocephalus heterophyllus																									GU290011																											
Lasiocephalus otophorus																									GU289946																											
Lasiocephalus cuencanus																									GU289945																											
Lasiocephalus lingulatus																									GU289977																											
Lasiocephalus longipenicillatus																									GU290028																											
Lasiocephalus pichinchensis																									GU290006																											
Lasiocephalus sodiroi																									GU289980																											
Lomanthus bangii																									GU818635																											
Pojarkovia stenocephala																									EF538286																											
Elekmania buchii																									EF538191																											
Elekmania barahonensis																									EF538190																											
Elekmania fuertesii																									EF538192																											
Capelio tabularis																AM234857																																				
Dendrosenecio battiscombei																									EF538185																											
Packera anonyma																HQ644061																																				
Packera heterophylla		GQ245180																																																		
Packera tampicana																									EF538277																											
Papuacalia sandsii																									EF538278																											
Gynoxys tolimensis																									EF538220																											
Gynoxys sodiroi																									EF538219																											
Gynoxys buxifolia																									EF538218																											
Bethencourtia rupicola																									EF538161																											
Bethencourtia hermosae																									EF538159																											
Brachyglottis revoluta																									EF660536																											
Brachyglottis stewartiae																									EF635459																											
Tephroseris fuscata																									AF345303																											
Tephroseris subdentata		EU195524																																																		
Tephroseris frigida		GQ245597																																																		
Tephroseris kjellmanii		GQ245600																																																		
Tephroseris lindstroemii		DQ860633																																																		
Tephroseris phaeantha		EU195521																																																		
Tephroseris crispa																									EF538407																											
Tephroseris integrifolia		GQ245599																																																		
Tephroseris stolonifera		EU195523																																																		
Xenophyllum dactylophyllum																									EF538414																											
Dolichorrhiza persica																									EF538186																											
Jessea cooperi																									EF538245																											
Pseudogynoxys chenopodioides																									EF538287																											
Graphistylis toledoi																									FERN_ZO2Y01																											
Euryops evansii																									EF538205																											
Euryops proteoides																									EU979538																											
Euryops exsudans																									EU979540																											
Euryops ericifolius																									EU667519																											
Arnoglossum plantagineum																									EF538155																											
Synotis cappa																									EF538402																											
Synotis alata																																																		AY723217		
Iranecio bulghardaghensis																									EF538239																											
Iranecio jurineifolius																									EF538240																											
Iranecio taraxacifolius																									EF538242																											
Iranecio paucilobus																									EF538241																											
Cineraria grandiflora																									EF538170																											
Endocellion glaciale		GQ244908																																																		
Pentacalia antioquensis																									EF538282																											
Nordenstamia repanda																									EF538268																											
Aequatorium lepidotum																									EF538148																											
Chersodoma antennaria																									EF538165																											
Chersodoma ovopedata																									EF538168																											
Chersodoma diclina																									EF538166																											
Hertia maroccana																									EF538228																											
Hertia angustifolia																									EF538225																											
Antillanthus acunae																									EF538152																											
Werneria nubigena																									EF538413																											
Hubertia ambavilla																									EF538235																											
Hubertia myricifolia																									EF538236																											
Senecio descoingsii																									DQ915869																											
Senecio dregeanus																									EF538331																											
Senecio carnosulus																									EU331121																											
Senecio deferens																									EF538325																											
Senecio toxotis																									DQ915894																											
Senecio foetidus																																								DQ131875												
Senecio stapeliiformis																									DQ915873																											
Senecio picticaulis																									DQ915876																											
Senecio australis																									EF538302																											
Senecio depressicola		JX134203																																																		
Senecio costaricensis																									AF161639																											
Senecio anteuphorbium																									DQ915867																											
Senecio landbeckii																									EF538353																											
Senecio wairauensis																									EU812817																											
Senecio corymbiferus																									DQ915893																											
Senecio eenii																									AF457425																											
Senecio hansweberi																									EF538344																											
Senecio californicus																									AF097536																											
Senecio malacitanus																									AJ400813																											
Senecio rodriguezii																									AJ400799																											
Senecio sinuatilobus																									EF538380																											
Senecio sempervivus																									DQ915871																											
Senecio farinifer																									EF538333																											
Senecio perralderianus																									EF538365																											
Senecio crassissimus																									EF538318																											
Senecio copeyensis																JQ590711																																				
Senecio laetevirens																									EF538352																											
Senecio asperulus																									EF538300																											
Senecio arenarius																									AF457421																											
Senecio adenotrichius																									EF538295																											
Senecio nigrocinctus																																																		AY723212		
Senecio glutinosus																									AF457427																											
Senecio abbreviatus																									DQ915895																											
Senecio junceus																									EF538351																											
Senecio tricuspidatus																									EF538390																											
Senecio longiflorus																									DQ915870																											
Senecio windhoekensis																									AF457426																											
Senecio candollei																									EF538311																											
